Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Ease of Online booking,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction
0,19,1,0,809,2,2,5,2,5,5,5,1,1,2,2,5,65,46.0,0
1,49,1,0,552,2,4,2,2,2,2,4,3,4,4,3,2,13,0.0,0
1,55,1,2,414,4,1,4,3,3,4,4,4,4,1,4,1,58,62.0,0
1,41,1,0,190,3,2,3,3,3,3,1,2,3,1,3,3,0,0.0,0
0,27,1,0,130,4,4,3,4,4,3,3,4,2,1,2,3,32,41.0,0
1,54,0,0,119,2,2,3,3,4,4,4,2,4,3,4,4,0,0.0,0
1,39,0,0,368,3,3,2,3,2,2,3,2,5,1,5,2,0,0.0,0
1,25,0,0,1136,2,2,3,2,3,3,1,1,3,2,4,3,0,0.0,0
1,49,0,0,1194,4,4,3,3,5,4,4,4,4,3,4,3,2,7.0,0
1,35,1,1,544,3,1,3,3,3,3,3,4,3,3,4,3,0,18.0,0
1,21,0,0,666,1,1,1,1,3,1,4,4,3,1,4,1,0,0.0,0
1,31,0,0,925,3,2,5,2,5,5,1,5,3,1,5,5,28,32.0,0
1,43,0,0,1431,3,3,2,5,4,2,2,3,2,4,2,5,20,17.0,0
0,60,1,2,1144,1,1,3,1,3,3,4,1,2,4,2,3,73,81.0,0
0,37,1,2,342,1,1,3,1,1,3,5,3,4,5,5,3,0,0.0,0
0,29,1,0,622,4,4,2,4,2,2,5,4,3,5,5,2,0,6.0,0
1,38,1,2,3474,2,4,4,3,4,2,2,2,2,2,2,3,0,0.0,0
1,58,0,0,250,3,3,1,3,1,1,3,4,5,3,5,1,31,33.0,0
0,32,1,0,955,3,4,1,4,1,1,2,1,4,1,3,1,3,0.0,0
1,12,1,1,719,3,3,3,3,2,3,3,1,4,2,4,3,40,43.0,0
1,27,0,0,333,3,5,5,5,5,5,1,4,2,4,3,5,46,33.0,0
1,50,0,1,463,3,3,3,2,4,4,5,5,4,4,5,4,176,161.0,0
1,23,1,2,3472,1,4,1,2,1,1,2,1,3,3,4,1,0,0.0,0
0,62,1,2,2075,2,2,1,2,1,1,4,2,5,4,5,1,0,0.0,0
0,25,1,0,545,3,3,4,3,4,4,1,1,3,4,3,4,0,8.0,0
1,27,0,0,309,1,5,4,5,4,4,2,5,2,1,5,4,0,0.0,0
1,39,1,2,760,4,4,3,2,3,4,4,4,4,4,4,1,0,0.0,0
1,54,1,2,1735,2,4,3,4,4,2,2,2,2,4,2,1,7,9.0,0
1,63,0,0,2182,4,4,5,4,4,5,5,4,5,4,5,2,24,11.0,0
1,31,0,1,674,3,3,2,3,2,2,1,3,3,1,4,2,92,95.0,0
0,43,1,0,376,2,2,2,2,2,2,1,2,3,3,3,2,2,0.0,0
1,51,0,2,814,3,3,2,5,4,1,1,3,1,4,1,5,0,0.0,0
1,16,0,0,404,4,4,1,4,1,1,2,2,4,1,3,1,0,0.0,0
1,35,0,0,2399,3,2,3,2,4,3,2,5,4,1,4,3,52,65.0,0
1,30,0,0,1754,2,2,2,2,2,2,2,3,1,3,4,2,39,12.0,0
1,43,0,0,581,3,3,3,3,3,3,5,3,5,3,4,3,9,20.0,0
1,67,1,0,381,3,3,2,4,4,3,3,3,3,3,3,4,21,21.0,0
1,23,0,1,1294,2,2,2,2,2,2,3,3,4,3,4,2,48,34.0,0
1,29,0,1,802,2,2,2,2,2,2,3,2,4,4,3,2,0,0.0,0
0,38,1,0,363,3,3,4,3,4,4,3,3,3,4,3,4,0,0.0,0
1,25,0,0,228,4,4,1,4,3,1,3,2,4,5,5,1,0,0.0,0
1,62,1,0,728,3,2,2,2,3,3,3,3,3,3,3,1,0,12.0,0
0,19,1,0,782,2,3,2,3,4,2,3,2,3,1,3,2,126,128.0,0
1,15,1,2,1158,3,3,3,2,3,3,4,5,4,3,3,3,49,40.0,0
0,51,1,0,628,2,2,4,2,4,4,3,2,1,1,2,4,8,0.0,0
1,18,1,2,2153,3,3,3,3,3,3,2,4,3,3,4,3,30,9.0,0
0,24,1,0,320,3,3,4,3,3,4,1,2,5,4,4,4,0,0.0,0
1,39,0,0,1235,2,2,2,2,2,2,2,5,3,4,2,2,8,6.0,0
1,19,0,0,1034,2,2,5,2,3,5,5,5,4,5,4,5,0,0.0,0
1,22,1,2,1562,1,3,1,1,1,1,3,4,3,2,4,1,4,2.0,0
0,26,1,2,1389,1,1,3,1,3,3,3,2,5,5,5,3,57,80.0,0
1,13,0,1,986,2,2,4,2,5,4,5,5,4,3,5,4,0,0.0,0
0,37,1,0,391,3,3,3,3,5,3,3,3,3,4,3,3,0,0.0,0
1,24,0,0,237,1,1,5,1,3,5,5,4,4,5,4,5,33,44.0,0
0,23,1,0,102,3,3,4,3,2,4,4,2,3,3,3,4,0,4.0,0
1,40,1,1,826,4,3,4,4,4,4,3,5,3,3,3,4,8,8.0,0
1,28,0,0,867,2,2,5,2,4,5,2,5,3,4,3,5,0,0.0,0
0,34,1,0,368,3,3,4,3,4,4,3,4,3,1,5,4,0,0.0,0
1,11,0,0,408,3,4,1,4,1,1,2,2,4,4,3,1,29,18.0,0
1,39,0,0,409,2,2,2,2,2,2,3,2,2,5,4,2,0,0.0,0
1,15,0,0,1055,1,1,3,1,3,3,4,2,5,3,4,3,45,22.0,0
0,24,1,0,733,2,2,2,2,5,2,1,5,2,3,1,2,0,13.0,0
1,77,1,2,387,3,5,3,4,3,3,3,3,3,2,3,1,0,2.0,0
1,13,0,0,668,3,3,3,3,3,3,3,2,5,4,5,3,0,0.0,0
1,30,1,2,1749,2,4,2,2,2,2,1,3,2,4,3,2,47,41.0,0
1,43,1,2,458,3,1,1,3,3,3,3,3,3,3,3,2,0,0.0,0
1,46,1,0,214,2,1,2,2,2,2,4,3,3,4,3,2,0,0.0,0
0,26,1,0,689,3,3,3,3,3,3,2,1,3,5,5,3,0,0.0,0
1,64,0,0,481,3,2,2,3,5,2,2,2,2,5,2,5,33,16.0,0
1,49,0,0,1297,3,3,5,3,5,5,3,5,3,1,4,5,11,13.0,0
0,36,1,0,84,2,2,3,2,5,3,5,4,5,1,1,3,6,0.0,0
0,40,1,2,589,2,2,4,2,4,4,3,3,4,4,3,4,0,0.0,0
1,57,0,0,657,3,3,2,3,2,2,3,4,2,5,3,2,24,25.0,0
0,26,0,0,650,1,1,2,1,2,2,2,5,2,1,3,2,0,0.0,0
1,38,0,1,628,3,3,1,3,5,1,5,2,4,3,5,1,2,0.0,0
1,47,0,0,1276,2,2,4,4,5,1,1,2,1,3,1,5,0,5.0,0
0,36,1,2,550,3,2,2,2,2,2,3,2,5,5,4,2,0,0.0,0
1,14,0,1,757,4,4,4,4,3,4,4,5,4,4,4,4,3,0.0,0
1,60,1,2,624,1,3,4,4,4,1,1,1,1,2,1,3,0,0.0,0
1,58,1,2,311,3,4,1,4,4,3,3,3,3,2,3,3,0,0.0,0
1,24,0,0,723,4,4,2,4,2,2,1,5,3,4,3,2,1,2.0,0
0,23,1,0,236,2,2,4,2,4,4,3,3,4,2,3,4,0,0.0,0
1,36,0,0,1605,2,2,4,2,4,4,4,2,4,4,4,4,5,29.0,0
1,62,0,0,1671,3,3,1,3,3,1,3,1,4,1,3,1,12,2.0,0
1,43,1,2,1682,5,2,1,3,4,5,5,4,5,2,5,2,44,38.0,0
1,64,1,0,683,2,1,2,2,2,2,1,3,3,4,3,2,0,0.0,0
0,23,1,0,1037,3,3,3,3,2,3,1,2,4,1,4,3,18,103.0,0
1,63,0,0,671,2,2,3,2,3,3,4,5,3,4,2,3,0,0.0,0
1,40,0,0,1576,3,3,2,3,2,2,4,3,4,5,4,2,0,0.0,0
0,30,1,1,666,3,3,5,3,5,5,4,4,3,2,2,5,5,0.0,0
1,13,0,0,1259,3,3,2,3,2,2,4,4,5,3,4,2,11,19.0,0
1,34,0,0,86,1,1,4,1,4,4,3,4,4,5,4,4,0,0.0,0
1,13,0,0,483,3,3,1,3,1,1,3,5,4,5,3,1,0,0.0,0
1,58,0,0,711,1,0,2,0,2,2,4,2,2,3,3,2,66,87.0,0
1,30,1,1,834,4,3,4,4,4,4,4,1,2,4,2,4,0,0.0,0
1,18,0,0,1012,3,3,5,3,5,5,1,2,1,4,5,5,0,1.0,0
1,49,0,0,646,2,2,2,4,4,5,5,2,5,5,5,5,0,0.0,0
1,25,1,0,550,2,2,2,2,2,2,3,3,4,2,4,2,16,8.0,0
1,34,1,2,2667,2,3,2,2,2,2,2,2,2,4,2,2,0,0.0,0
1,34,0,0,495,2,2,3,2,4,3,5,3,5,5,4,3,7,0.0,0
1,56,0,0,2065,2,2,5,4,5,4,4,2,4,3,4,3,0,0.0,0
1,40,0,0,2446,4,4,5,4,2,5,3,2,3,3,5,5,42,7.0,0
1,57,0,0,802,3,3,5,4,5,4,4,3,4,3,4,3,54,115.0,0
0,26,1,2,948,2,2,3,2,3,3,3,5,5,3,5,3,75,62.0,0
1,68,0,0,226,3,0,4,5,4,4,4,0,5,5,4,5,16,11.0,0
1,15,0,0,316,1,1,5,1,1,5,2,2,4,2,4,5,50,42.0,0
1,40,0,2,639,3,3,4,3,3,4,4,3,4,1,4,4,10,0.0,0
1,58,1,1,266,3,2,3,3,3,3,3,5,4,2,4,3,4,10.0,0
1,28,0,0,2704,3,4,4,5,4,4,3,4,4,4,4,4,3,0.0,0
1,11,1,0,689,3,2,3,3,1,3,3,1,2,2,2,3,53,39.0,0
1,60,1,2,589,4,3,1,2,3,4,4,4,4,4,4,2,19,44.0,0
1,66,0,0,1020,1,1,1,1,5,2,2,1,2,3,2,3,7,0.0,0
1,54,0,0,2462,2,2,3,3,4,2,2,2,2,3,2,3,9,5.0,0
0,22,1,0,216,1,0,3,0,3,3,4,4,5,3,3,3,0,3.0,0
1,29,0,0,1312,4,4,2,4,5,2,5,2,5,5,5,2,0,0.0,0
1,46,1,2,3293,2,4,2,4,3,2,2,2,2,1,2,3,0,5.0,0
0,45,1,0,131,4,4,1,4,1,1,3,2,4,1,5,1,0,0.0,0
1,43,0,0,148,2,2,5,5,5,4,4,2,4,3,4,3,3,0.0,0
0,25,1,0,373,4,4,4,4,4,4,1,4,2,3,4,4,0,1.0,0
1,24,0,0,583,2,2,3,2,3,3,3,3,5,4,5,3,70,72.0,0
1,40,0,0,139,2,0,0,3,2,4,2,5,5,2,5,2,114,155.0,0
1,63,0,0,192,2,2,3,4,5,3,3,2,3,4,3,3,23,25.0,0
1,44,1,2,3822,4,2,3,3,4,4,4,4,4,4,4,2,0,0.0,0
0,21,1,0,925,2,2,2,2,2,2,1,3,4,1,3,2,1,0.0,0
1,52,0,1,308,2,2,3,2,3,3,4,3,1,5,2,3,58,49.0,0
1,40,0,0,992,3,3,3,3,3,3,4,3,4,3,4,3,59,41.0,0
0,47,1,2,90,1,2,1,1,4,1,4,1,3,4,4,1,3,19.0,0
1,48,1,2,1416,4,4,1,3,4,4,4,4,4,2,4,1,2,0.0,0
1,43,1,2,1529,4,4,4,3,4,4,4,4,4,1,4,1,0,0.0,0
0,18,1,0,302,2,2,1,2,1,1,1,5,3,3,3,1,0,0.0,0
1,26,0,0,189,1,1,3,1,3,3,5,2,5,4,5,3,0,0.0,0
1,42,1,2,2584,4,4,3,3,3,4,4,3,4,4,4,2,4,0.0,0
0,42,1,0,774,2,2,5,2,5,5,3,3,4,2,2,5,18,34.0,0
0,68,1,0,223,3,3,3,3,5,3,4,3,4,4,3,3,0,9.0,0
1,47,0,0,587,4,4,4,4,4,4,3,5,5,3,5,4,20,8.0,0
1,36,1,0,1016,2,5,2,1,2,2,4,4,4,3,4,2,10,0.0,0
0,23,1,0,624,2,2,5,2,3,5,5,2,4,4,4,5,0,0.0,0
1,53,0,0,451,3,5,1,5,1,1,3,1,4,3,4,1,8,33.0,0
1,59,1,2,2853,2,1,2,2,2,2,2,1,2,2,2,4,0,19.0,0
1,55,0,0,237,4,4,4,4,2,4,5,4,5,4,4,4,10,0.0,0
0,21,1,0,369,3,3,4,3,4,4,2,2,1,3,1,4,0,0.0,0
1,28,0,0,337,2,2,2,2,2,2,3,2,2,2,4,2,0,0.0,0
1,56,0,0,432,2,2,1,2,1,1,1,1,4,5,4,1,29,40.0,0
1,41,1,2,804,4,2,5,4,4,4,4,4,4,3,4,2,0,0.0,0
1,44,1,0,270,4,5,3,4,4,4,4,4,4,1,4,1,0,0.0,0
0,61,0,0,1121,2,2,5,2,5,5,4,4,3,3,3,5,2,0.0,0
1,13,0,0,1183,3,3,3,3,1,3,5,5,5,4,4,3,0,4.0,0
1,38,1,2,1637,2,2,5,3,3,2,2,2,2,4,2,4,0,0.0,0
1,32,0,0,959,2,2,1,2,1,1,3,5,4,4,5,1,0,0.0,0
1,16,0,1,1947,3,3,4,3,4,4,4,2,3,5,5,4,0,13.0,0
0,23,1,0,187,1,1,2,1,2,2,1,3,3,1,3,2,34,36.0,0
0,27,1,0,264,2,2,2,2,2,2,3,3,3,1,4,2,0,0.0,0
1,27,0,0,1055,2,1,1,1,1,1,5,5,4,4,5,1,0,0.0,0
1,32,0,1,1050,2,2,2,2,2,2,4,4,5,5,5,2,0,0.0,0
1,44,0,0,158,4,4,2,4,2,2,2,5,1,4,5,2,0,0.0,0
1,55,0,0,405,1,1,5,1,2,5,5,5,4,5,5,5,0,0.0,0
1,58,1,2,1543,2,2,4,3,4,3,3,3,2,3,3,1,0,0.0,0
1,12,0,0,1045,1,1,1,1,1,1,1,4,2,2,3,1,18,11.0,0
0,45,1,0,679,2,3,4,3,3,4,1,2,4,3,3,4,0,0.0,0
1,36,1,2,3499,3,1,1,4,3,1,1,1,3,4,1,2,119,126.0,0
0,26,1,2,646,3,3,2,3,1,2,1,5,3,1,4,2,0,0.0,0
1,45,1,0,651,1,2,1,1,1,1,4,5,4,1,3,1,21,9.0,0
1,49,1,0,925,4,2,5,4,4,4,4,4,4,2,4,1,0,0.0,0
0,61,1,0,391,2,1,3,1,3,3,2,2,4,1,3,3,0,0.0,0
1,55,0,0,859,2,2,3,4,4,1,1,2,1,3,1,4,0,0.0,0
1,16,0,0,666,3,3,3,3,3,3,4,2,2,3,4,3,37,10.0,0
0,22,1,0,184,2,2,4,2,2,4,2,2,4,3,3,4,0,0.0,0
1,23,0,0,954,3,3,3,3,3,3,4,5,5,4,4,3,0,0.0,0
1,24,0,1,196,2,2,2,2,2,2,2,2,3,2,4,2,0,0.0,0
1,27,1,1,342,4,2,4,4,4,4,4,4,4,4,3,4,24,23.0,0
1,27,0,2,646,2,2,4,2,5,4,2,3,1,2,2,4,0,0.0,0
1,55,1,0,170,2,3,5,4,4,1,1,2,1,3,1,1,1,20.0,0
1,16,0,1,404,2,2,5,2,5,5,3,2,3,4,4,5,16,14.0,0
1,24,0,0,2176,2,2,1,2,5,1,2,3,4,2,4,1,0,0.0,0
0,42,1,2,377,2,2,2,2,2,2,5,4,5,5,4,2,44,46.0,0
1,59,0,0,453,3,5,5,4,5,5,5,5,4,5,5,5,0,0.0,0
0,22,1,0,733,1,1,3,1,3,3,2,5,2,4,3,3,0,0.0,0
1,65,0,0,631,2,2,1,2,2,1,4,3,3,4,2,1,0,8.0,0
0,40,1,2,370,3,3,3,3,3,3,3,2,4,5,2,3,0,0.0,0
1,77,1,0,867,3,3,3,3,3,3,1,1,4,1,3,3,0,0.0,0
1,20,0,0,296,4,4,4,4,4,4,3,2,5,3,5,4,0,0.0,0
0,23,1,0,1158,1,1,5,1,5,5,4,2,2,1,2,5,0,0.0,0
1,64,0,0,337,2,3,3,5,4,4,4,3,4,5,4,4,0,0.0,0
1,65,0,0,775,3,3,3,3,3,3,3,2,5,4,4,3,0,0.0,0
1,20,1,2,692,4,5,4,4,4,4,4,5,4,2,4,4,15,15.0,0
1,31,0,1,214,1,1,1,4,5,3,4,4,4,5,3,5,145,136.0,0
1,28,0,0,89,2,2,3,2,3,3,4,4,5,3,5,3,0,0.0,0
0,36,1,2,328,3,3,2,3,2,2,5,4,4,5,5,2,0,0.0,0
0,57,1,2,948,2,2,5,2,5,5,5,4,5,3,5,5,24,11.0,0
1,28,0,2,1846,1,1,2,1,2,2,5,4,4,3,5,2,0,5.0,0
0,49,1,2,316,1,1,4,1,4,4,3,3,4,3,4,4,0,1.0,0
0,24,1,0,188,3,3,1,3,1,1,5,4,5,1,3,1,34,23.0,0
1,69,0,0,255,1,1,2,3,3,1,1,1,1,2,1,3,0,0.0,0
0,10,1,0,883,3,4,1,3,1,1,2,4,4,1,3,1,0,0.0,0
1,48,0,1,67,1,1,4,5,5,3,3,1,3,1,3,4,0,0.0,0
1,65,1,2,2631,3,1,3,3,3,4,5,1,2,3,1,3,0,0.0,0
0,47,1,0,102,1,1,3,1,3,3,1,1,1,3,4,3,2,14.0,0
1,22,1,0,363,3,3,3,3,3,3,4,3,4,4,4,3,0,2.0,0
0,29,1,2,632,2,2,1,2,4,1,3,4,5,4,4,1,0,0.0,0
1,50,0,0,507,2,2,1,2,1,1,4,5,5,3,5,1,0,0.0,0
0,37,1,0,434,1,1,3,1,3,3,3,5,4,4,5,3,0,0.0,0
1,68,0,0,574,3,3,5,4,4,2,2,3,2,3,2,4,0,0.0,0
1,53,1,2,2257,3,5,2,3,4,3,3,3,3,2,3,2,30,19.0,0
1,54,1,2,3743,3,2,2,3,3,3,3,3,3,4,3,2,51,36.0,0
1,45,0,0,781,3,3,2,3,2,2,2,3,1,1,2,4,77,64.0,0
0,38,1,2,226,4,4,3,4,3,3,4,2,5,4,5,3,0,0.0,0
1,34,0,0,164,2,2,1,2,1,1,3,4,4,5,4,1,0,0.0,0
0,39,1,2,224,4,4,5,4,5,5,2,4,2,4,5,5,0,2.0,0
0,28,1,0,843,1,1,4,1,4,4,5,3,3,3,2,4,0,0.0,0
0,11,1,0,986,4,4,4,4,4,4,1,3,3,4,4,4,0,0.0,0
1,18,0,0,220,3,3,1,3,1,1,3,2,4,3,3,1,0,0.0,0
1,35,0,2,1298,1,1,3,4,4,3,3,1,2,5,3,3,0,0.0,0
1,69,0,0,670,4,4,5,5,5,3,3,4,3,3,3,3,72,64.0,0
0,20,1,0,966,2,2,4,2,4,4,2,3,2,3,2,4,32,15.0,0
0,54,1,0,907,4,4,5,4,5,5,1,1,3,3,4,5,17,17.0,0
1,65,0,1,829,3,3,2,2,3,2,2,3,2,4,2,2,0,0.0,0
1,45,0,0,417,3,3,5,3,5,5,2,1,2,3,2,5,0,8.0,0
1,56,0,0,368,1,1,5,1,5,5,1,2,2,2,1,5,2,0.0,0
1,32,0,0,441,2,2,3,2,4,3,2,2,3,1,3,3,0,0.0,0
1,49,0,0,861,3,3,3,4,5,3,3,3,4,3,3,5,62,54.0,0
1,62,0,0,253,3,0,1,0,1,1,3,3,3,4,3,1,0,0.0,0
1,53,0,1,622,1,1,3,5,4,3,3,1,3,3,3,3,36,61.0,0
1,21,0,0,405,4,4,3,4,1,3,4,3,4,4,4,3,7,0.0,0
1,47,0,0,546,3,3,2,5,4,5,5,3,4,3,5,3,5,20.0,0
1,39,1,2,338,3,4,1,4,3,3,3,3,3,4,3,4,11,15.0,0
1,23,0,0,2007,2,2,2,2,2,3,4,4,5,2,4,2,172,143.0,0
1,38,1,0,557,2,2,2,2,2,2,2,4,4,3,3,2,0,24.0,0
1,53,1,0,1095,3,5,3,3,3,3,1,1,3,3,4,3,0,0.0,0
1,57,1,2,2665,2,2,3,3,3,2,2,2,2,1,2,1,22,11.0,0
0,25,1,2,620,1,1,3,1,3,3,5,3,4,5,5,3,0,0.0,0
0,26,1,0,1166,3,4,5,4,5,5,1,5,4,1,3,5,2,33.0,0
1,66,0,0,345,4,4,2,4,2,2,1,2,3,4,4,2,0,0.0,0
1,55,0,0,153,4,4,1,4,4,5,5,4,5,3,5,4,0,0.0,0
1,64,1,0,258,4,1,4,4,4,4,1,3,3,1,4,4,7,1.0,0
1,35,0,2,421,1,5,1,2,4,3,3,5,3,5,3,5,25,42.0,0
