id_passageiro,sobreviveu,classe_bilhete,genero,idade,irmaos_conjuges_abordo,pais_filhos_abordo,numero_bilhete,preco_bilhete,cabine_numero,local_embarque
50,False,3,F,18.0,1,0,349237,17.8,,Southampton
51,False,3,M,7.0,4,1,3101295,39.6875,,Southampton
52,False,3,M,21.0,0,0,A/4. 39886,7.8,,Southampton
53,True,1,F,49.0,1,0,PC 17572,76.7292,D33,Cherbourg
54,True,2,F,29.0,1,0,2926,26.0,,Southampton
55,False,1,M,65.0,0,1,113509,61.9792,B30,Cherbourg
56,True,1,M,,0,0,19947,35.5,C52,Southampton
57,True,2,F,21.0,0,0,C.A. 31026,10.5,,Southampton
58,False,3,M,28.5,0,0,2697,7.2292,,Cherbourg
59,True,2,F,5.0,1,2,C.A. 34651,27.75,,Southampton
60,False,3,M,11.0,5,2,CA 2144,46.9,,Southampton
61,False,3,M,22.0,0,0,2669,7.2292,,Cherbourg
62,True,1,F,38.0,0,0,113572,80.0,B28,
63,False,1,M,45.0,1,0,36973,83.475,C83,Southampton
64,False,3,M,4.0,3,2,347088,27.9,,Southampton
65,False,1,M,,0,0,PC 17605,27.7208,,Cherbourg
66,True,3,M,,1,1,2661,15.2458,,Cherbourg
67,True,2,F,29.0,0,0,C.A. 29395,10.5,F33,Southampton
68,False,3,M,19.0,0,0,S.P. 3464,8.1583,,Southampton
69,True,3,F,17.0,4,2,3101281,7.925,,Southampton
70,False,3,M,26.0,2,0,315151,8.6625,,Southampton
71,False,2,M,32.0,0,0,C.A. 33111,10.5,,Southampton
72,False,3,F,16.0,5,2,CA 2144,46.9,,Southampton
73,False,2,M,21.0,0,0,S.O.C. 14879,73.5,,Southampton
74,False,3,M,26.0,1,0,2680,14.4542,,Cherbourg
75,True,3,M,32.0,0,0,1601,56.4958,,Southampton
76,False,3,M,25.0,0,0,348123,7.65,F G73,Southampton
77,False,3,M,,0,0,349208,7.8958,,Southampton
78,False,3,M,,0,0,374746,8.05,,Southampton
79,True,2,M,0.83,0,2,248738,29.0,,Southampton
80,True,3,F,30.0,0,0,364516,12.475,,Southampton
81,False,3,M,22.0,0,0,345767,9.0,,Southampton
82,True,3,M,29.0,0,0,345779,9.5,,Southampton
83,True,3,F,,0,0,330932,7.7875,,Queenstown
84,False,1,M,28.0,0,0,113059,47.1,,Southampton
85,True,2,F,17.0,0,0,SO/C 14885,10.5,,Southampton
86,True,3,F,33.0,3,0,3101278,15.85,,Southampton
87,False,3,M,16.0,1,3,W./C. 6608,34.375,,Southampton
88,False,3,M,,0,0,SOTON/OQ 392086,8.05,,Southampton
89,True,1,F,23.0,3,2,19950,263.0,C23 C25 C27,Southampton
90,False,3,M,24.0,0,0,343275,8.05,,Southampton
91,False,3,M,29.0,0,0,343276,8.05,,Southampton
92,False,3,M,20.0,0,0,347466,7.8542,,Southampton
93,False,1,M,46.0,1,0,W.E.P. 5734,61.175,E31,Southampton
94,False,3,M,26.0,1,2,C.A. 2315,20.575,,Southampton
95,False,3,M,59.0,0,0,364500,7.25,,Southampton
96,False,3,M,,0,0,374910,8.05,,Southampton
97,False,1,M,71.0,0,0,PC 17754,34.6542,A5,Cherbourg
98,True,1,M,23.0,0,1,PC 17759,63.3583,D10 D12,Cherbourg
99,True,2,F,34.0,0,1,231919,23.0,,Southampton
100,False,2,M,34.0,1,0,244367,26.0,,Southampton
101,False,3,F,28.0,0,0,349245,7.8958,,Southampton
102,False,3,M,,0,0,349215,7.8958,,Southampton
103,False,1,M,21.0,0,1,35281,77.2875,D26,Southampton
104,False,3,M,33.0,0,0,7540,8.6542,,Southampton
105,False,3,M,37.0,2,0,3101276,7.925,,Southampton
106,False,3,M,28.0,0,0,349207,7.8958,,Southampton
107,True,3,F,21.0,0,0,343120,7.65,,Southampton
108,True,3,M,,0,0,312991,7.775,,Southampton
109,False,3,M,38.0,0,0,349249,7.8958,,Southampton
110,True,3,F,,1,0,371110,24.15,,Queenstown
111,False,1,M,47.0,0,0,110465,52.0,C110,Southampton
112,False,3,F,14.5,1,0,2665,14.4542,,Cherbourg
113,False,3,M,22.0,0,0,324669,8.05,,Southampton
114,False,3,F,20.0,1,0,4136,9.825,,Southampton
115,False,3,F,17.0,0,0,2627,14.4583,,Cherbourg
116,False,3,M,21.0,0,0,STON/O 2. 3101294,7.925,,Southampton
117,False,3,M,70.5,0,0,370369,7.75,,Queenstown
118,False,2,M,29.0,1,0,11668,21.0,,Southampton
119,False,1,M,24.0,0,1,PC 17558,247.5208,B58 B60,Cherbourg
120,False,3,F,2.0,4,2,347082,31.275,,Southampton
121,False,2,M,21.0,2,0,S.O.C. 14879,73.5,,Southampton
122,False,3,M,,0,0,A4. 54510,8.05,,Southampton
123,False,2,M,32.5,1,0,237736,30.0708,,Cherbourg
124,True,2,F,32.5,0,0,27267,13.0,E101,Southampton
125,False,1,M,54.0,0,1,35281,77.2875,D26,Southampton
126,True,3,M,12.0,1,0,2651,11.2417,,Cherbourg
127,False,3,M,,0,0,370372,7.75,,Queenstown
128,True,3,M,24.0,0,0,C 17369,7.1417,,Southampton
129,True,3,F,,1,1,2668,22.3583,F E69,Cherbourg
130,False,3,M,45.0,0,0,347061,6.975,,Southampton
131,False,3,M,33.0,0,0,349241,7.8958,,Cherbourg
132,False,3,M,20.0,0,0,SOTON/O.Q. 3101307,7.05,,Southampton
133,False,3,F,47.0,1,0,A/5. 3337,14.5,,Southampton
134,True,2,F,29.0,1,0,228414,26.0,,Southampton
135,False,2,M,25.0,0,0,C.A. 29178,13.0,,Southampton
136,False,2,M,23.0,0,0,SC/PARIS 2133,15.0458,,Cherbourg
137,True,1,F,19.0,0,2,11752,26.2833,D47,Southampton
138,False,1,M,37.0,1,0,113803,53.1,C123,Southampton
139,False,3,M,16.0,0,0,7534,9.2167,,Southampton
140,False,1,M,24.0,0,0,PC 17593,79.2,B86,Cherbourg
141,False,3,F,,0,2,2678,15.2458,,Cherbourg
142,True,3,F,22.0,0,0,347081,7.75,,Southampton
143,True,3,F,24.0,1,0,STON/O2. 3101279,15.85,,Southampton
144,False,3,M,19.0,0,0,365222,6.75,,Queenstown
145,False,2,M,18.0,0,0,231945,11.5,,Southampton
146,False,2,M,19.0,1,1,C.A. 33112,36.75,,Southampton
147,True,3,M,27.0,0,0,350043,7.7958,,Southampton
148,False,3,F,9.0,2,2,W./C. 6608,34.375,,Southampton
149,False,2,M,36.5,0,2,230080,26.0,F2,Southampton
150,False,2,M,42.0,0,0,244310,13.0,,Southampton
151,False,2,M,51.0,0,0,S.O.P. 1166,12.525,,Southampton
152,True,1,F,22.0,1,0,113776,66.6,C2,Southampton
153,False,3,M,55.5,0,0,A.5. 11206,8.05,,Southampton
154,False,3,M,40.5,0,2,A/5. 851,14.5,,Southampton
155,False,3,M,,0,0,Fa 265302,7.3125,,Southampton
156,False,1,M,51.0,0,1,PC 17597,61.3792,,Cherbourg
157,True,3,F,16.0,0,0,35851,7.7333,,Queenstown
158,False,3,M,30.0,0,0,SOTON/OQ 392090,8.05,,Southampton
159,False,3,M,,0,0,315037,8.6625,,Southampton
160,False,3,M,,8,2,CA. 2343,69.55,,Southampton
161,False,3,M,44.0,0,1,371362,16.1,,Southampton
162,True,2,F,40.0,0,0,C.A. 33595,15.75,,Southampton
163,False,3,M,26.0,0,0,347068,7.775,,Southampton
164,False,3,M,17.0,0,0,315093,8.6625,,Southampton
165,False,3,M,1.0,4,1,3101295,39.6875,,Southampton
166,True,3,M,9.0,0,2,363291,20.525,,Southampton
167,True,1,F,,0,1,113505,55.0,E33,Southampton
168,False,3,F,45.0,1,4,347088,27.9,,Southampton
169,False,1,M,,0,0,PC 17318,25.925,,Southampton
170,False,3,M,28.0,0,0,1601,56.4958,,Southampton
171,False,1,M,61.0,0,0,111240,33.5,B19,Southampton
172,False,3,M,4.0,4,1,382652,29.125,,Queenstown
173,True,3,F,1.0,1,1,347742,11.1333,,Southampton
174,False,3,M,21.0,0,0,STON/O 2. 3101280,7.925,,Southampton
175,False,1,M,56.0,0,0,17764,30.6958,A7,Cherbourg
176,False,3,M,18.0,1,1,350404,7.8542,,Southampton
177,False,3,M,,3,1,4133,25.4667,,Southampton
178,False,1,F,50.0,0,0,PC 17595,28.7125,C49,Cherbourg
179,False,2,M,30.0,0,0,250653,13.0,,Southampton
180,False,3,M,36.0,0,0,LINE,0.0,,Southampton
181,False,3,F,,8,2,CA. 2343,69.55,,Southampton
182,False,2,M,,0,0,SC/PARIS 2131,15.05,,Cherbourg
183,False,3,M,9.0,4,2,347077,31.3875,,Southampton
184,True,2,M,1.0,2,1,230136,39.0,F4,Southampton
185,True,3,F,4.0,0,2,315153,22.025,,Southampton
186,False,1,M,,0,0,113767,50.0,A32,Southampton
187,True,3,F,,1,0,370365,15.5,,Queenstown
188,True,1,M,45.0,0,0,111428,26.55,,Southampton
189,False,3,M,40.0,1,1,364849,15.5,,Queenstown
190,False,3,M,36.0,0,0,349247,7.8958,,Southampton
191,True,2,F,32.0,0,0,234604,13.0,,Southampton
192,False,2,M,19.0,0,0,28424,13.0,,Southampton
193,True,3,F,19.0,1,0,350046,7.8542,,Southampton
194,True,2,M,3.0,1,1,230080,26.0,F2,Southampton
195,True,1,F,44.0,0,0,PC 17610,27.7208,B4,Cherbourg
196,True,1,F,58.0,0,0,PC 17569,146.5208,B80,Cherbourg
197,False,3,M,,0,0,368703,7.75,,Queenstown
198,False,3,M,42.0,0,1,4579,8.4042,,Southampton
199,True,3,F,,0,0,370370,7.75,,Queenstown
200,False,2,F,24.0,0,0,248747,13.0,,Southampton
201,False,3,M,28.0,0,0,345770,9.5,,Southampton
202,False,3,M,,8,2,CA. 2343,69.55,,Southampton
203,False,3,M,34.0,0,0,3101264,6.4958,,Southampton
204,False,3,M,45.5,0,0,2628,7.225,,Cherbourg
205,True,3,M,18.0,0,0,A/5 3540,8.05,,Southampton
206,False,3,F,2.0,0,1,347054,10.4625,G6,Southampton
207,False,3,M,32.0,1,0,3101278,15.85,,Southampton
208,True,3,M,26.0,0,0,2699,18.7875,,Cherbourg
209,True,3,F,16.0,0,0,367231,7.75,,Queenstown
210,True,1,M,40.0,0,0,112277,31.0,A31,Cherbourg
211,False,3,M,24.0,0,0,SOTON/O.Q. 3101311,7.05,,Southampton
212,True,2,F,35.0,0,0,F.C.C. 13528,21.0,,Southampton
213,False,3,M,22.0,0,0,A/5 21174,7.25,,Southampton
214,False,2,M,30.0,0,0,250646,13.0,,Southampton
215,False,3,M,,1,0,367229,7.75,,Queenstown
216,True,1,F,31.0,1,0,35273,113.275,D36,Cherbourg
217,True,3,F,27.0,0,0,STON/O2. 3101283,7.925,,Southampton
218,False,2,M,42.0,1,0,243847,27.0,,Southampton
219,True,1,F,32.0,0,0,11813,76.2917,D15,Cherbourg
220,False,2,M,30.0,0,0,W/C 14208,10.5,,Southampton
221,True,3,M,16.0,0,0,SOTON/OQ 392089,8.05,,Southampton
222,False,2,M,27.0,0,0,220367,13.0,,Southampton
223,False,3,M,51.0,0,0,21440,8.05,,Southampton
224,False,3,M,,0,0,349234,7.8958,,Southampton
225,True,1,M,38.0,1,0,19943,90.0,C93,Southampton
226,False,3,M,22.0,0,0,PP 4348,9.35,,Southampton
227,True,2,M,19.0,0,0,SW/PP 751,10.5,,Southampton
228,False,3,M,20.5,0,0,A/5 21173,7.25,,Southampton
229,False,2,M,18.0,0,0,236171,13.0,,Southampton
230,False,3,F,,3,1,4133,25.4667,,Southampton
231,True,1,F,35.0,1,0,36973,83.475,C83,Southampton
232,False,3,M,29.0,0,0,347067,7.775,,Southampton
233,False,2,M,59.0,0,0,237442,13.5,,Southampton
234,True,3,F,5.0,4,2,347077,31.3875,,Southampton
235,False,2,M,24.0,0,0,C.A. 29566,10.5,,Southampton
236,False,3,F,,0,0,W./C. 6609,7.55,,Southampton
237,False,2,M,44.0,1,0,26707,26.0,,Southampton
238,True,2,F,8.0,0,2,C.A. 31921,26.25,,Southampton
239,False,2,M,19.0,0,0,28665,10.5,,Southampton
240,False,2,M,33.0,0,0,SCO/W 1585,12.275,,Southampton
241,False,3,F,,1,0,2665,14.4542,,Cherbourg
242,True,3,F,,1,0,367230,15.5,,Queenstown
243,False,2,M,29.0,0,0,W./C. 14263,10.5,,Southampton
244,False,3,M,22.0,0,0,STON/O 2. 3101275,7.125,,Southampton
245,False,3,M,30.0,0,0,2694,7.225,,Cherbourg
246,False,1,M,44.0,2,0,19928,90.0,C78,Queenstown
247,False,3,F,25.0,0,0,347071,7.775,,Southampton
248,True,2,F,24.0,0,2,250649,14.5,,Southampton
249,True,1,M,37.0,1,1,11751,52.5542,D35,Southampton
250,False,2,M,54.0,1,0,244252,26.0,,Southampton
251,False,3,M,,0,0,362316,7.25,,Southampton
252,False,3,F,29.0,1,1,347054,10.4625,G6,Southampton
253,False,1,M,62.0,0,0,113514,26.55,C87,Southampton
254,False,3,M,30.0,1,0,A/5. 3336,16.1,,Southampton
255,False,3,F,41.0,0,2,370129,20.2125,,Southampton
256,True,3,F,29.0,0,2,2650,15.2458,,Cherbourg
257,True,1,F,,0,0,PC 17585,79.2,,Cherbourg
258,True,1,F,30.0,0,0,110152,86.5,B77,Southampton
259,True,1,F,35.0,0,0,PC 17755,512.3292,,Cherbourg
260,True,2,F,50.0,0,1,230433,26.0,,Southampton
261,False,3,M,,0,0,384461,7.75,,Queenstown
262,True,3,M,3.0,4,2,347077,31.3875,,Southampton
263,False,1,M,52.0,1,1,110413,79.65,E67,Southampton
264,False,1,M,40.0,0,0,112059,0.0,B94,Southampton
265,False,3,F,,0,0,382649,7.75,,Queenstown
266,False,2,M,36.0,0,0,C.A. 17248,10.5,,Southampton
267,False,3,M,16.0,4,1,3101295,39.6875,,Southampton
268,True,3,M,25.0,1,0,347083,7.775,,Southampton
269,True,1,F,58.0,0,1,PC 17582,153.4625,C125,Southampton
270,True,1,F,35.0,0,0,PC 17760,135.6333,C99,Southampton
271,False,1,M,,0,0,113798,31.0,,Southampton
272,True,3,M,25.0,0,0,LINE,0.0,,Southampton
273,True,2,F,41.0,0,1,250644,19.5,,Southampton
274,False,1,M,37.0,0,1,PC 17596,29.7,C118,Cherbourg
275,True,3,F,,0,0,370375,7.75,,Queenstown
276,True,1,F,63.0,1,0,13502,77.9583,D7,Southampton
277,False,3,F,45.0,0,0,347073,7.75,,Southampton
278,False,2,M,,0,0,239853,0.0,,Southampton
279,False,3,M,7.0,4,1,382652,29.125,,Queenstown
280,True,3,F,35.0,1,1,C.A. 2673,20.25,,Southampton
281,False,3,M,65.0,0,0,336439,7.75,,Queenstown
282,False,3,M,28.0,0,0,347464,7.8542,,Southampton
283,False,3,M,16.0,0,0,345778,9.5,,Southampton
284,True,3,M,19.0,0,0,A/5. 10482,8.05,,Southampton
285,False,1,M,,0,0,113056,26.0,A19,Southampton
286,False,3,M,33.0,0,0,349239,8.6625,,Cherbourg
287,True,3,M,30.0,0,0,345774,9.5,,Southampton
288,False,3,M,22.0,0,0,349206,7.8958,,Southampton
289,True,2,M,42.0,0,0,237798,13.0,,Southampton
290,True,3,F,22.0,0,0,370373,7.75,,Queenstown
291,True,1,F,26.0,0,0,19877,78.85,,Southampton
292,True,1,F,19.0,1,0,11967,91.0792,B49,Cherbourg
293,False,2,M,36.0,0,0,SC/Paris 2163,12.875,D,Cherbourg
294,False,3,F,24.0,0,0,349236,8.85,,Southampton
295,False,3,M,24.0,0,0,349233,7.8958,,Southampton
296,False,1,M,,0,0,PC 17612,27.7208,,Cherbourg
297,False,3,M,23.5,0,0,2693,7.2292,,Cherbourg
298,False,1,F,2.0,1,2,113781,151.55,C22 C26,Southampton
299,True,1,M,,0,0,19988,30.5,C106,Southampton
300,True,1,F,50.0,0,1,PC 17558,247.5208,B58 B60,Cherbourg
301,True,3,F,,0,0,9234,7.75,,Queenstown
302,True,3,M,,2,0,367226,23.25,,Queenstown
303,False,3,M,19.0,0,0,LINE,0.0,,Southampton
304,True,2,F,,0,0,226593,12.35,E101,Queenstown
305,False,3,M,,0,0,A/5 2466,8.05,,Southampton
306,True,1,M,0.92,1,2,113781,151.55,C22 C26,Southampton
307,True,1,F,,0,0,17421,110.8833,,Cherbourg
308,True,1,F,17.0,1,0,PC 17758,108.9,C65,Cherbourg
309,False,2,M,30.0,1,0,P/PP 3381,24.0,,Cherbourg
310,True,1,F,30.0,0,0,PC 17485,56.9292,E36,Cherbourg
311,True,1,F,24.0,0,0,11767,83.1583,C54,Cherbourg
312,True,1,F,18.0,2,2,PC 17608,262.375,B57 B59 B63 B66,Cherbourg
313,False,2,F,26.0,1,1,250651,26.0,,Southampton
314,False,3,M,28.0,0,0,349243,7.8958,,Southampton
315,False,2,M,43.0,1,1,F.C.C. 13529,26.25,,Southampton
316,True,3,F,26.0,0,0,347470,7.8542,,Southampton
317,True,2,F,24.0,1,0,244367,26.0,,Southampton
318,False,2,M,54.0,0,0,29011,14.0,,Southampton
319,True,1,F,31.0,0,2,36928,164.8667,C7,Southampton
320,True,1,F,40.0,1,1,16966,134.5,E34,Cherbourg
321,False,3,M,22.0,0,0,A/5 21172,7.25,,Southampton
322,False,3,M,27.0,0,0,349219,7.8958,,Southampton
323,True,2,F,30.0,0,0,234818,12.35,,Queenstown
324,True,2,F,22.0,1,1,248738,29.0,,Southampton
325,False,3,M,,8,2,CA. 2343,69.55,,Southampton
326,True,1,F,36.0,0,0,PC 17760,135.6333,C32,Cherbourg
327,False,3,M,61.0,0,0,345364,6.2375,,Southampton
328,True,2,F,36.0,0,0,28551,13.0,D,Southampton
329,True,3,F,31.0,1,1,363291,20.525,,Southampton
330,True,1,F,16.0,0,1,111361,57.9792,B18,Cherbourg
331,True,3,F,,2,0,367226,23.25,,Queenstown
332,False,1,M,45.5,0,0,113043,28.5,C124,Southampton
333,False,1,M,38.0,0,1,PC 17582,153.4625,C91,Southampton
334,False,3,M,16.0,2,0,345764,18.0,,Southampton
335,True,1,F,,1,0,PC 17611,133.65,,Southampton
336,False,3,M,,0,0,349225,7.8958,,Southampton
337,False,1,M,29.0,1,0,113776,66.6,C2,Southampton
338,True,1,F,41.0,0,0,16966,134.5,E40,Cherbourg
339,True,3,M,45.0,0,0,7598,8.05,,Southampton
340,False,1,M,45.0,0,0,113784,35.5,T,Southampton
341,True,2,M,2.0,1,1,230080,26.0,F2,Southampton
342,True,1,F,24.0,3,2,19950,263.0,C23 C25 C27,Southampton
343,False,2,M,28.0,0,0,248740,13.0,,Southampton
344,False,2,M,25.0,0,0,244361,13.0,,Southampton
345,False,2,M,36.0,0,0,229236,13.0,,Southampton
346,True,2,F,24.0,0,0,248733,13.0,F33,Southampton
347,True,2,F,40.0,0,0,31418,13.0,,Southampton
348,True,3,F,,1,0,386525,16.1,,Southampton
349,True,3,M,3.0,1,1,C.A. 37671,15.9,,Southampton
350,False,3,M,42.0,0,0,315088,8.6625,,Southampton
351,False,3,M,23.0,0,0,7267,9.225,,Southampton
352,False,1,M,,0,0,113510,35.0,C128,Southampton
353,False,3,M,15.0,1,1,2695,7.2292,,Cherbourg
354,False,3,M,25.0,1,0,349237,17.8,,Southampton
355,False,3,M,,0,0,2647,7.225,,Cherbourg
356,False,3,M,28.0,0,0,345783,9.5,,Southampton
357,True,1,F,22.0,0,1,113505,55.0,E33,Southampton
358,False,2,F,38.0,0,0,237671,13.0,,Southampton
359,True,3,F,,0,0,330931,7.8792,,Queenstown
360,True,3,F,,0,0,330980,7.8792,,Queenstown
361,False,3,M,40.0,1,4,347088,27.9,,Southampton
362,False,2,M,29.0,1,0,SC/PARIS 2167,27.7208,,Cherbourg
363,False,3,F,45.0,0,1,2691,14.4542,,Cherbourg
364,False,3,M,35.0,0,0,SOTON/O.Q. 3101310,7.05,,Southampton
365,False,3,M,,1,0,370365,15.5,,Queenstown
366,False,3,M,30.0,0,0,C 7076,7.25,,Southampton
367,True,1,F,60.0,1,0,110813,75.25,D37,Cherbourg
368,True,3,F,,0,0,2626,7.2292,,Cherbourg
369,True,3,F,,0,0,14313,7.75,,Queenstown
370,True,1,F,24.0,0,0,PC 17477,69.3,B35,Cherbourg
371,True,1,M,25.0,1,0,11765,55.4417,E50,Cherbourg
372,False,3,M,18.0,1,0,3101267,6.4958,,Southampton
373,False,3,M,19.0,0,0,323951,8.05,,Southampton
374,False,1,M,22.0,0,0,PC 17760,135.6333,,Cherbourg
375,False,3,F,3.0,3,1,349909,21.075,,Southampton
376,True,1,F,,1,0,PC 17604,82.1708,,Cherbourg
377,True,3,F,22.0,0,0,C 7077,7.25,,Southampton
378,False,1,M,27.0,0,2,113503,211.5,C82,Cherbourg
379,False,3,M,20.0,0,0,2648,4.0125,,Cherbourg
380,False,3,M,19.0,0,0,347069,7.775,,Southampton
381,True,1,F,42.0,0,0,PC 17757,227.525,,Cherbourg
382,True,3,F,1.0,0,2,2653,15.7417,,Cherbourg
383,False,3,M,32.0,0,0,STON/O 2. 3101293,7.925,,Southampton
384,True,1,F,35.0,1,0,113789,52.0,,Southampton
385,False,3,M,,0,0,349227,7.8958,,Southampton
386,False,2,M,18.0,0,0,S.O.C. 14879,73.5,,Southampton
387,False,3,M,1.0,5,2,CA 2144,46.9,,Southampton
388,True,2,F,36.0,0,0,27849,13.0,,Southampton
389,False,3,M,,0,0,367655,7.7292,,Queenstown
390,True,2,F,17.0,0,0,SC 1748,12.0,,Cherbourg
391,True,1,M,36.0,1,2,113760,120.0,B96 B98,Southampton
392,True,3,M,21.0,0,0,350034,7.7958,,Southampton
393,False,3,M,28.0,2,0,3101277,7.925,,Southampton
394,True,1,F,23.0,1,0,35273,113.275,D36,Cherbourg
395,True,3,F,24.0,0,2,PP 9549,16.7,G6,Southampton
396,False,3,M,22.0,0,0,350052,7.7958,,Southampton
397,False,3,F,31.0,0,0,350407,7.8542,,Southampton
398,False,2,M,46.0,0,0,28403,26.0,,Southampton
399,False,2,M,23.0,0,0,244278,10.5,,Southampton
400,True,2,F,28.0,0,0,240929,12.65,,Southampton
401,True,3,M,39.0,0,0,STON/O 2. 3101289,7.925,,Southampton
402,False,3,M,26.0,0,0,341826,8.05,,Southampton
403,False,3,F,21.0,1,0,4137,9.825,,Southampton
404,False,3,M,28.0,1,0,STON/O2. 3101279,15.85,,Southampton
405,False,3,F,20.0,0,0,315096,8.6625,,Southampton
406,False,2,M,34.0,1,0,28664,21.0,,Southampton
407,False,3,M,51.0,0,0,347064,7.75,,Southampton
408,True,2,M,3.0,1,1,29106,18.75,,Southampton
409,False,3,M,21.0,0,0,312992,7.775,,Southampton
410,False,3,F,,3,1,4133,25.4667,,Southampton
411,False,3,M,,0,0,349222,7.8958,,Southampton
412,False,3,M,,0,0,394140,6.8583,,Queenstown
413,True,1,F,33.0,1,0,19928,90.0,C78,Queenstown
414,False,2,M,,0,0,239853,0.0,,Southampton
415,True,3,M,44.0,0,0,STON/O 2. 3101269,7.925,,Southampton
416,False,3,F,,0,0,343095,8.05,,Southampton
417,True,2,F,34.0,1,1,28220,32.5,,Southampton
418,True,2,F,18.0,0,2,250652,13.0,,Southampton
419,False,2,M,30.0,0,0,28228,13.0,,Southampton
420,False,3,F,10.0,0,2,345773,24.15,,Southampton
421,False,3,M,,0,0,349254,7.8958,,Cherbourg
422,False,3,M,21.0,0,0,A/5. 13032,7.7333,,Queenstown
423,False,3,M,29.0,0,0,315082,7.875,,Southampton
424,False,3,F,28.0,1,1,347080,14.4,,Southampton
425,False,3,M,18.0,1,1,370129,20.2125,,Southampton
426,False,3,M,,0,0,A/4. 34244,7.25,,Southampton
427,True,2,F,28.0,1,0,2003,26.0,,Southampton
428,True,2,F,19.0,0,0,250655,26.0,,Southampton
429,False,3,M,,0,0,364851,7.75,,Queenstown
430,True,3,M,32.0,0,0,SOTON/O.Q. 392078,8.05,E10,Southampton
431,True,1,M,28.0,0,0,110564,26.55,C52,Southampton
432,True,3,F,,1,0,376564,16.1,,Southampton
433,True,2,F,42.0,1,0,SC/AH 3085,26.0,,Southampton
434,False,3,M,17.0,0,0,STON/O 2. 3101274,7.125,,Southampton
435,False,1,M,50.0,1,0,13507,55.9,E44,Southampton
436,True,1,F,14.0,1,2,113760,120.0,B96 B98,Southampton
437,False,3,F,21.0,2,2,W./C. 6608,34.375,,Southampton
438,True,2,F,24.0,2,3,29106,18.75,,Southampton
439,False,1,M,64.0,1,4,19950,263.0,C23 C25 C27,Southampton
440,False,2,M,31.0,0,0,C.A. 18723,10.5,,Southampton
441,True,2,F,45.0,1,1,F.C.C. 13529,26.25,,Southampton
442,False,3,M,20.0,0,0,345769,9.5,,Southampton
443,False,3,M,25.0,1,0,347076,7.775,,Southampton
