no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,lead_time,arrival_month,market_segment_type,repeated_guest,avg_price_per_room,no_of_special_requests,booking_status
2,0,0,1,0,0,2,9,1,0,155.81,0,0
2,0,2,0,0,0,72,11,1,0,79.2,3,0
2,0,3,10,1,0,196,7,1,0,81.81,3,0
2,0,1,1,1,0,3,8,2,0,100.0,0,0
2,0,1,3,1,0,42,3,1,0,131.48,1,0
2,0,1,1,1,0,180,5,0,0,100.0,1,0
2,1,0,3,1,0,70,12,1,0,113.87,2,0
1,0,0,2,1,0,33,3,0,0,62.2,0,0
2,0,1,2,1,0,186,4,0,0,80.0,0,0
1,0,0,2,1,0,192,6,0,0,95.0,0,0
2,0,1,2,1,0,127,5,1,0,105.3,1,0
2,0,0,2,1,0,19,9,1,0,174.0,2,0
2,0,1,3,1,0,75,6,0,0,80.75,1,0
1,0,1,2,1,0,133,3,0,0,74.67,1,0
1,0,0,3,1,0,18,6,2,0,90.0,0,0
1,0,0,1,1,0,0,9,4,1,0.0,3,0
1,0,1,0,1,0,0,1,2,1,79.0,0,0
2,0,0,2,0,0,2,10,1,0,130.0,3,0
2,0,0,2,1,0,65,9,1,0,149.4,1,0
2,0,1,2,1,0,83,12,1,0,111.6,1,0
2,0,2,1,1,0,4,2,1,0,91.0,0,0
2,0,0,1,1,0,0,9,1,0,124.0,1,0
2,1,2,5,1,0,260,10,1,0,108.68,3,0
2,0,2,3,2,0,39,8,1,0,170.1,2,0
2,0,1,0,0,1,6,9,1,0,138.0,3,0
2,0,2,2,1,0,75,9,0,0,80.75,0,0
2,1,2,1,1,0,12,12,0,0,64.0,1,0
2,0,0,1,0,0,4,2,1,0,79.0,0,0
1,0,1,1,0,0,5,12,1,0,68.0,0,0
2,0,2,5,0,0,15,12,1,0,98.11,2,0
2,0,1,2,1,0,46,11,0,0,60.0,1,0
2,0,0,1,1,0,83,7,1,0,105.3,1,0
2,0,0,1,1,0,146,8,1,0,114.3,1,0
1,0,0,3,1,0,97,12,0,0,62.0,1,0
2,0,2,2,1,0,108,3,1,0,59.37,0,0
3,0,2,4,1,0,52,8,1,0,150.9,0,0
3,0,2,0,1,0,78,9,1,0,160.08,1,0
1,0,2,0,0,0,8,10,1,0,110.0,1,0
2,0,2,2,1,0,12,6,1,0,141.0,1,0
2,0,0,3,1,0,13,10,0,0,75.0,1,0
1,0,0,1,1,0,36,2,1,0,72.9,1,0
2,0,0,2,1,0,12,4,1,0,127.0,1,0
1,0,1,3,1,0,7,12,1,0,125.8,2,0
2,0,2,5,1,0,53,3,1,0,83.92,1,0
2,0,0,4,1,0,98,5,0,0,95.0,1,0
2,0,0,1,0,0,27,3,1,0,90.0,0,0
2,0,2,3,1,0,359,10,0,0,78.0,1,0
2,0,0,1,1,0,60,7,1,0,81.08,1,0
1,0,1,1,1,0,4,1,1,0,97.0,2,0
1,0,0,2,1,0,164,8,1,0,105.3,3,0
2,0,0,1,0,0,0,9,1,0,87.78,0,0
2,0,0,3,1,0,4,10,0,0,90.0,1,0
2,0,2,2,1,0,11,8,1,0,90.0,2,0
2,0,0,3,1,0,31,12,0,0,74.88,0,0
2,0,2,2,2,0,47,8,1,0,170.1,1,0
2,0,1,2,1,0,104,9,1,0,129.6,2,0
2,0,2,2,1,0,110,4,1,0,93.08,3,0
2,0,0,3,1,0,117,5,1,0,105.3,1,0
3,0,0,2,1,0,109,6,1,0,159.3,1,0
2,0,0,2,1,0,1,4,0,0,107.0,0,0
2,1,0,3,1,0,133,7,1,0,121.5,2,0
2,0,1,1,1,0,14,10,1,0,126.0,2,0
2,0,1,3,0,0,80,9,1,0,62.83,1,0
2,0,0,4,1,0,126,6,1,0,90.95,1,0
1,0,0,4,1,0,6,10,1,0,148.5,1,0
3,0,0,3,1,0,55,3,1,0,123.3,2,0
2,0,0,3,1,0,44,2,0,0,75.0,0,0
2,0,1,2,1,0,96,11,1,0,94.67,2,0
2,0,1,5,1,0,32,4,1,0,73.32,0,0
2,0,2,2,1,0,83,5,1,0,124.65,1,0
2,0,1,1,1,0,5,10,2,0,162.0,0,0
2,0,1,2,1,0,28,12,0,0,141.67,1,0
1,0,0,3,1,0,71,6,0,0,120.0,0,0
2,0,1,0,1,0,18,12,0,0,80.0,0,0
2,0,1,2,1,0,118,6,0,0,120.0,0,0
1,0,1,2,1,0,4,5,3,0,95.0,0,0
1,0,1,3,1,0,118,6,0,0,110.0,0,0
2,0,1,2,1,0,14,5,1,0,102.41,2,0
2,0,1,4,1,0,73,5,1,0,129.96,1,0
2,0,2,2,0,0,10,12,1,0,74.8,1,0
2,0,0,1,0,0,8,9,1,0,149.0,3,0
2,0,0,2,0,0,98,12,1,0,79.2,1,0
2,0,0,1,0,0,0,10,1,0,92.98,0,0
1,0,0,2,2,0,256,6,0,0,90.0,0,0
2,0,0,1,1,0,41,12,0,0,65.0,0,0
2,0,0,1,2,0,55,4,0,0,104.0,0,0
2,0,1,1,1,0,144,7,1,0,114.3,2,0
3,0,0,2,1,0,57,12,1,0,126.0,2,0
2,0,0,1,0,0,0,9,1,0,99.63,0,0
1,0,0,2,0,0,5,1,1,0,63.1,0,0
2,0,1,0,1,0,3,6,1,0,121.0,1,0
3,0,0,2,1,0,21,12,1,0,375.5,0,0
2,0,0,2,1,0,68,9,0,0,65.0,0,0
1,0,0,2,1,0,1,12,1,0,72.38,1,0
2,0,1,4,1,0,53,3,1,0,85.85,2,0
2,0,1,1,1,0,44,6,0,0,96.3,0,0
3,0,2,4,1,0,30,7,1,0,168.3,4,0
2,2,2,2,1,0,51,7,1,0,150.3,3,0
2,0,2,5,2,0,277,9,0,0,89.14,1,0
2,0,2,1,2,0,150,1,0,0,101.0,0,0
1,0,1,0,1,0,34,6,1,0,94.5,1,0
2,0,2,1,1,0,32,1,2,0,64.0,0,0
3,0,2,1,1,0,118,9,0,0,105.4,0,0
2,0,0,1,1,0,0,11,1,0,54.31,0,0
2,0,0,3,1,0,9,5,1,0,104.8,0,0
2,0,2,2,1,0,25,9,1,0,154.0,0,0
2,0,2,2,1,0,9,12,1,0,99.88,2,0
1,0,0,1,1,0,7,11,2,0,79.0,0,0
2,0,2,6,1,0,55,8,0,0,85.5,0,0
1,0,1,1,2,0,4,5,0,0,91.0,1,0
1,0,0,3,1,0,58,1,0,0,90.0,0,0
2,0,0,1,1,0,10,2,1,0,93.0,1,0
2,0,0,3,1,0,7,3,1,0,106.33,1,0
2,0,0,5,0,0,144,7,0,0,63.75,0,0
2,0,2,1,1,0,20,6,1,0,141.0,1,0
2,0,0,2,1,0,36,3,0,0,67.32,1,0
2,0,0,3,1,0,72,8,1,0,135.9,2,0
1,0,0,1,1,0,1,9,4,0,0.0,1,0
1,0,1,0,1,0,0,6,1,0,135.0,1,0
2,0,0,4,0,0,4,12,1,0,88.26,2,0
1,0,2,1,1,0,24,12,1,0,104.0,1,0
2,0,1,0,1,0,103,4,1,0,76.22,1,0
1,0,0,2,1,0,192,6,0,0,95.0,0,0
2,0,2,1,1,0,1,6,1,0,152.67,0,0
2,0,1,2,0,0,7,12,1,0,120.0,0,0
2,0,2,3,1,0,62,4,0,0,76.0,1,0
1,0,1,0,1,0,10,10,2,0,89.0,0,0
3,0,0,1,1,0,75,7,1,0,146.7,1,0
2,0,1,2,0,0,36,12,1,0,88.0,1,0
1,0,0,2,1,0,0,8,4,0,0.0,2,0
2,0,1,0,1,0,0,5,1,0,176.0,1,0
2,0,0,4,1,0,0,12,1,0,122.5,1,0
1,0,1,0,1,0,13,12,1,0,96.0,0,0
3,0,1,3,1,0,63,9,1,0,142.2,2,0
2,0,0,2,1,0,57,9,0,0,101.52,0,0
3,0,0,2,1,0,19,7,1,0,162.0,2,0
2,0,1,0,0,0,2,5,1,0,89.0,2,0
2,0,0,1,1,0,1,8,1,0,140.0,1,0
1,0,2,1,1,0,116,2,0,0,85.0,0,0
2,0,2,1,1,0,119,12,1,0,72.25,3,0
1,0,0,3,0,0,110,11,1,0,85.87,1,0
2,0,0,1,1,0,73,10,0,0,72.0,0,0
2,0,2,1,2,0,117,8,0,0,94.5,0,0
1,0,0,1,1,0,0,11,2,0,79.0,0,0
2,0,0,1,1,0,0,1,4,1,0.0,1,0
2,0,0,2,1,0,141,9,1,0,123.8,1,0
1,0,2,1,1,0,4,2,2,1,66.0,0,0
1,0,0,1,1,0,0,1,1,0,73.9,0,0
2,0,1,3,1,0,22,9,1,0,119.25,3,0
2,0,1,3,1,0,14,5,0,0,80.75,0,0
2,0,0,4,1,0,72,4,1,0,99.45,1,0
2,0,2,2,1,0,17,9,1,0,138.0,1,0
2,0,1,4,1,0,5,8,1,0,90.0,2,0
2,2,2,1,2,0,4,2,1,0,198.0,0,0
2,0,0,4,1,0,33,1,1,0,55.59,0,0
2,0,1,4,1,0,84,3,0,0,75.34,0,0
2,0,2,2,1,0,134,12,0,0,65.0,0,0
1,0,0,1,1,0,12,7,2,0,65.0,1,0
1,0,2,3,1,0,212,5,0,0,70.0,1,0
2,0,2,2,1,0,9,1,1,0,71.6,1,0
3,0,0,3,1,0,46,12,1,0,138.6,2,0
2,1,0,1,1,0,38,8,1,0,152.1,1,0
3,0,0,2,1,0,29,10,1,0,201.25,3,0
3,0,2,5,1,0,40,4,1,0,135.64,1,0
2,1,0,2,1,0,59,7,1,0,137.7,1,0
2,0,0,2,0,0,0,4,1,0,75.42,0,0
1,0,2,0,1,0,38,8,1,0,90.95,0,0
2,0,2,1,2,0,117,8,0,0,94.5,0,0
2,0,0,3,1,0,29,12,0,0,115.0,1,0
2,0,2,3,1,1,9,6,0,0,104.0,0,0
2,0,0,1,0,0,71,11,1,0,79.2,2,0
2,0,1,2,1,0,135,9,0,0,90.0,0,0
1,0,0,1,1,0,1,6,2,1,95.0,0,0
2,0,2,1,1,0,37,10,1,0,126.0,1,0
2,0,0,2,1,1,15,9,1,0,105.0,1,0
2,0,0,3,1,0,116,5,0,0,75.0,0,0
2,2,0,1,0,0,62,10,1,0,139.5,1,0
3,0,1,3,1,0,53,8,1,0,161.78,1,0
2,0,1,2,1,0,86,5,0,0,65.0,1,0
2,0,1,3,0,0,21,5,1,0,114.0,2,0
3,0,2,3,1,0,12,8,0,0,68.8,0,0
2,0,2,2,1,0,132,5,1,0,113.05,1,0
2,0,0,4,1,0,270,4,0,0,80.0,0,0
2,0,1,2,1,0,6,10,1,0,117.04,1,0
2,0,1,1,1,0,159,4,0,0,70.0,1,0
2,0,2,1,0,0,31,2,1,0,69.5,1,0
1,0,0,3,2,0,13,4,0,0,73.0,0,0
3,0,0,1,1,0,31,12,1,0,109.8,1,0
2,0,0,1,1,0,53,5,1,0,126.9,1,0
1,0,0,2,1,0,164,10,0,0,100.0,0,0
2,0,2,5,0,0,34,12,1,0,54.71,1,0
2,0,0,3,1,0,51,12,1,0,68.47,1,0
1,0,0,0,1,0,4,2,4,0,0.0,1,0
2,0,0,1,1,0,0,8,1,0,98.0,0,0
2,0,2,1,1,0,23,6,1,0,95.83,1,0
2,0,4,5,1,0,221,8,1,0,90.95,1,0
2,0,0,3,1,0,86,3,0,0,58.0,0,0
1,0,0,2,1,0,9,3,2,0,56.0,0,0
2,0,1,1,2,0,71,10,0,0,142.5,0,0
1,0,0,1,1,0,13,9,1,0,95.0,1,0
2,0,0,2,2,0,102,10,0,0,109.0,0,0
2,0,2,0,0,0,23,9,1,0,89.0,2,0
2,2,2,1,1,0,54,3,1,0,174.9,2,0
2,0,0,2,1,0,107,6,0,0,130.0,1,0
1,0,1,1,1,0,10,7,2,1,65.0,1,0
1,0,1,3,1,1,1,5,1,0,103.71,0,0
1,1,0,2,1,0,15,10,1,0,116.31,1,0
2,0,2,0,0,0,34,6,1,0,89.1,1,0
2,0,0,1,0,0,19,9,1,0,139.0,2,0
1,2,0,2,1,1,3,8,1,0,107.0,0,0
2,0,0,2,1,0,16,11,0,0,89.0,0,0
2,0,0,3,1,0,26,10,1,0,114.67,2,0
3,0,1,1,1,0,33,1,2,0,95.0,1,0
1,0,1,2,1,0,1,6,0,0,70.0,0,0
2,0,0,1,1,0,1,12,1,0,135.0,1,0
2,0,1,3,1,0,127,4,0,0,90.0,0,0
2,0,1,2,0,0,16,2,1,0,58.88,0,0
2,0,0,3,1,0,85,7,0,0,86.36,0,0
1,0,0,1,0,0,19,2,1,0,57.98,1,0
2,1,0,5,1,0,138,8,1,0,101.49,1,0
2,0,0,2,2,0,74,9,0,0,109.0,0,0
2,0,0,1,0,0,29,3,1,0,79.0,0,0
2,0,0,1,1,0,9,8,1,0,140.0,2,0
1,0,0,1,1,0,0,6,1,0,143.0,1,0
2,0,1,3,1,0,114,6,1,0,87.67,2,0
2,0,2,3,1,0,6,9,1,0,103.15,1,0
2,0,1,3,1,0,45,11,1,0,88.4,0,0
2,0,2,1,1,0,125,7,1,0,114.3,1,0
2,0,1,2,0,0,46,3,1,0,54.75,1,0
2,0,2,2,1,0,98,8,1,0,117.9,1,0
2,0,0,1,1,0,115,2,1,0,1.0,0,0
2,0,2,1,1,0,29,2,0,0,38.67,0,0
2,0,1,3,0,0,94,11,1,0,79.2,1,0
2,0,0,3,0,0,8,8,1,0,81.0,2,0
2,0,2,0,1,0,61,10,0,0,91.0,0,0
2,0,1,0,1,0,18,12,0,0,80.0,0,0
2,0,0,3,1,0,162,9,0,0,70.0,0,0
1,0,0,1,0,0,1,1,1,0,66.7,0,0
2,0,0,2,1,0,86,9,2,0,100.0,0,0
1,0,0,3,1,0,71,6,0,0,120.0,0,0
2,0,1,2,1,0,187,10,1,0,108.9,3,0
2,0,0,1,1,0,36,3,1,0,81.9,2,0
3,0,0,2,2,1,40,8,1,0,228.6,2,0
1,0,0,2,1,0,164,10,0,0,100.0,0,0
1,0,0,2,2,0,273,7,0,0,87.0,0,0
2,0,0,2,2,0,39,8,0,0,101.5,0,0
1,0,2,1,0,0,67,2,1,0,48.51,0,0
2,1,1,0,1,0,69,7,1,0,123.3,2,0
2,0,1,4,1,0,54,12,1,1,117.0,1,0
2,0,1,2,1,0,62,3,1,0,60.29,1,0
2,0,1,1,0,1,91,5,1,0,125.1,0,0
2,0,2,0,1,0,55,3,0,0,63.0,0,0
2,0,0,1,0,0,38,6,1,0,89.1,1,0
2,0,0,1,0,0,2,2,1,0,81.0,1,0
2,0,2,1,1,0,193,7,1,0,76.85,1,0
2,0,1,1,1,0,0,10,1,0,149.0,1,0
2,0,1,2,1,0,132,7,0,0,72.25,0,0
2,1,2,3,1,0,148,7,1,0,118.15,0,0
2,0,2,3,1,0,268,4,0,0,78.0,0,0
2,0,1,3,0,0,37,12,1,0,74.25,0,0
2,0,0,0,0,0,13,8,1,0,0.0,2,0
2,0,2,3,1,0,94,12,0,0,60.0,0,0
1,0,1,2,1,0,219,9,0,0,76.67,0,0
2,0,0,4,1,0,149,11,1,0,65.45,1,0
2,0,2,2,1,0,231,8,1,0,90.95,1,0
2,0,2,2,1,0,73,3,0,0,59.5,0,0
2,0,1,2,0,0,128,9,1,0,118.8,1,0
2,0,2,5,0,0,0,8,1,0,99.14,0,0
1,0,0,1,0,0,1,10,1,0,102.6,0,0
2,0,1,4,1,0,172,7,1,0,79.03,1,0
2,0,0,3,1,0,59,11,1,0,71.1,2,0
2,0,0,1,0,0,5,4,1,0,89.0,0,0
2,0,1,1,1,0,29,9,0,0,95.0,0,0
2,0,2,0,1,0,2,1,1,0,67.66,0,0
1,0,2,3,1,0,6,11,1,0,164.2,2,0
1,0,0,1,1,0,6,6,1,0,115.0,0,0
2,0,0,1,2,0,94,7,1,0,139.5,0,0
2,0,2,4,2,0,327,9,0,0,88.0,0,0
4,0,1,1,1,0,141,7,1,0,137.7,2,0
2,0,0,3,1,0,75,6,1,0,126.9,1,0
1,0,2,1,1,0,2,11,2,0,65.0,0,0
2,0,0,4,1,0,75,9,1,0,149.4,3,0
1,0,0,4,1,0,5,12,2,0,65.0,0,0
2,0,0,1,1,0,25,7,1,0,151.0,1,0
1,0,0,2,1,0,16,3,2,0,76.0,0,0
2,0,1,3,1,0,66,10,1,0,104.85,1,0
2,0,0,5,1,0,162,3,0,0,62.0,1,0
2,0,0,2,1,0,79,11,0,0,75.0,0,0
2,0,0,1,0,0,71,12,1,0,79.2,1,0
2,0,1,3,0,0,16,12,1,0,91.8,0,0
2,0,2,3,1,0,0,3,1,0,124.2,0,0
2,0,1,2,1,0,43,9,1,0,123.3,2,0
2,0,0,2,1,0,1,8,1,0,148.0,1,0
2,0,0,3,1,0,44,10,1,0,126.0,1,0
2,0,0,3,2,0,88,5,0,0,117.0,1,0
1,0,0,1,0,0,0,3,1,0,89.0,0,0
1,0,0,2,2,0,256,6,0,0,90.0,0,0
1,0,0,2,0,0,131,8,1,0,72.77,2,0
1,0,0,2,1,0,1,10,0,0,100.0,0,0
2,0,1,3,1,0,42,11,0,0,68.0,0,0
1,0,0,2,1,0,8,9,2,0,169.38,0,0
2,0,0,1,1,0,13,9,1,0,152.0,2,0
2,0,0,3,1,0,31,10,1,0,129.0,2,0
2,0,0,2,0,0,24,11,0,0,70.0,0,0
2,0,1,0,1,0,0,8,1,0,164.0,0,0
2,0,0,1,0,0,6,8,1,0,118.0,2,0
2,0,0,2,1,1,4,9,1,0,124.0,1,0
1,0,0,1,1,0,15,2,2,0,81.0,0,0
1,0,4,10,1,0,3,10,4,0,0.0,0,0
2,0,2,2,1,0,46,10,1,0,90.55,1,0
2,0,1,4,1,1,161,11,1,0,94.0,3,0
2,0,0,3,1,0,24,12,1,0,104.0,1,0
1,0,0,1,1,0,8,2,2,0,81.0,0,0
3,0,0,2,1,1,144,8,1,0,146.7,0,0
1,0,2,1,1,0,1,11,1,0,68.76,1,0
1,0,0,3,1,0,276,9,0,0,95.67,0,0
2,0,2,3,1,0,90,3,1,0,84.45,0,0
1,0,0,1,1,0,0,11,2,1,65.0,0,0
2,0,2,4,1,0,78,3,0,0,48.33,0,0
1,0,1,2,1,0,41,2,1,0,76.9,0,0
2,0,0,2,1,0,25,10,1,0,149.0,1,0
2,0,0,1,1,0,2,4,1,0,101.0,1,0
1,0,0,3,1,0,0,1,2,1,66.0,0,0
2,0,1,2,1,0,3,8,0,0,63.5,1,0
1,0,1,3,1,0,42,9,1,0,85.5,2,0
2,0,0,3,1,0,39,5,1,0,140.4,1,0
2,0,2,4,1,1,105,3,1,0,97.12,0,0
2,0,0,1,0,0,1,8,1,0,81.0,2,0
2,0,0,2,1,0,2,10,0,0,72.25,2,0
2,0,1,3,1,0,90,10,0,0,80.75,0,0
1,0,0,2,1,0,13,9,1,0,176.33,0,0
2,0,0,1,1,0,0,9,4,0,0.0,1,0
2,0,2,2,1,0,95,12,1,0,72.25,2,0
2,0,0,3,1,0,143,8,0,0,100.0,0,0
2,0,0,2,1,0,36,3,0,0,67.32,1,0
2,0,2,2,1,0,175,9,1,0,93.5,2,0
2,0,2,3,1,0,1,11,1,0,70.82,0,0
2,0,2,2,1,0,34,10,1,0,94.5,1,0
2,0,2,2,1,0,32,5,1,0,92.83,1,0
2,0,0,4,0,0,120,4,1,0,80.75,1,0
2,0,0,2,1,0,22,11,0,0,75.0,1,0
1,0,0,1,2,0,72,9,0,0,84.0,0,0
2,0,1,1,0,0,2,8,1,0,89.0,2,0
2,0,1,0,0,0,23,9,1,0,68.53,1,0
3,0,2,1,1,0,114,5,0,0,115.6,1,0
2,0,2,2,1,0,59,12,1,0,96.9,1,0
2,0,1,2,1,0,58,11,1,0,79.2,1,0
2,0,0,3,1,0,42,11,0,0,60.0,0,0
2,0,1,1,2,0,7,10,0,0,112.2,0,0
1,0,0,2,1,0,6,11,2,0,79.0,1,0
1,0,0,1,1,0,1,9,1,0,95.0,1,0
2,0,0,5,1,0,140,12,0,0,70.0,0,0
2,0,0,1,1,0,14,4,0,0,65.0,0,0
1,0,0,1,0,0,1,4,1,0,89.0,1,0
2,0,0,1,2,0,72,9,0,0,108.0,0,0
2,0,0,4,0,0,2,6,1,0,124.5,1,0
2,0,0,3,1,0,27,12,1,0,104.0,2,0
2,0,1,2,1,0,49,1,0,0,60.0,0,0
2,0,1,2,1,0,6,12,1,0,87.0,0,0
2,1,0,4,1,0,115,8,1,0,123.75,1,0
3,0,2,2,1,0,34,4,1,0,135.45,1,0
1,0,1,1,2,0,247,6,0,0,90.0,0,0
1,0,0,2,1,0,32,11,0,0,73.0,0,0
2,0,0,3,0,0,146,7,1,0,94.5,1,0
2,0,2,2,1,0,221,8,1,0,72.75,1,0
2,0,0,0,1,0,30,10,1,0,0.0,0,0
3,0,2,2,1,0,148,12,1,0,115.6,1,0
2,0,1,0,1,0,26,9,1,0,122.0,2,0
2,0,0,4,1,0,10,12,1,0,87.0,0,0
2,0,0,2,0,0,54,11,1,0,83.7,2,0
2,0,0,2,0,0,54,11,1,0,88.0,1,0
1,0,1,1,1,1,6,4,1,0,104.0,0,0
2,0,0,1,0,0,47,12,1,0,67.5,1,0
2,0,0,3,1,0,59,11,1,0,71.1,2,0
1,0,0,1,1,0,8,5,1,0,106.25,1,0
2,0,2,1,1,0,59,11,0,0,75.0,0,0
2,0,1,2,0,0,6,3,1,0,97.0,1,0
2,0,0,3,1,0,41,4,1,0,105.3,0,0
0,2,2,0,1,0,34,9,1,0,124.25,1,0
1,0,0,3,1,0,71,6,0,0,120.0,0,0
1,0,2,2,1,0,37,9,1,0,95.0,0,0
1,0,0,3,1,0,37,10,0,0,95.0,0,0
2,2,2,5,1,1,61,9,1,0,207.64,1,0
2,0,2,4,1,0,23,3,0,0,68.0,0,0
2,0,0,1,1,1,24,4,1,0,141.0,0,0
2,0,1,2,1,0,52,11,1,0,73.2,1,0
2,0,0,1,1,0,9,7,1,0,139.0,1,0
1,0,0,1,0,0,0,6,1,0,129.0,1,0
2,0,1,3,1,0,68,9,1,0,149.4,1,0
3,0,0,3,1,0,127,7,0,0,96.9,1,0
1,0,2,3,0,0,6,11,1,0,68.67,0,0
2,0,0,2,0,0,111,8,1,0,107.1,1,0
1,0,0,3,1,0,71,6,0,0,120.0,0,0
2,0,1,2,1,0,38,1,1,0,55.59,0,0
2,0,1,1,1,0,42,4,1,0,118.8,1,0
2,0,1,1,1,0,16,12,1,0,96.25,1,0
2,0,0,1,1,0,57,10,1,0,94.5,1,0
1,0,1,2,1,0,279,10,0,0,76.5,1,0
1,2,0,1,1,0,6,9,1,0,174.0,1,0
2,0,0,1,1,0,27,6,0,0,120.0,0,0
3,0,0,1,1,0,5,11,1,0,161.0,2,0
2,0,1,1,1,0,8,11,1,0,82.39,1,0
2,0,0,3,1,0,46,11,1,0,105.5,1,0
2,0,2,0,1,0,61,10,0,0,91.0,0,0
2,2,0,1,1,0,4,3,1,0,240.0,1,0
2,0,2,1,0,0,1,12,1,0,90.33,1,0
2,0,0,2,0,0,24,2,1,0,79.0,1,0
2,0,0,2,1,0,169,8,1,0,97.54,2,0
1,0,0,1,1,0,28,10,0,0,130.0,0,0
2,0,0,5,1,0,32,10,0,0,85.0,1,0
1,0,1,0,1,1,0,7,2,0,139.0,0,0
2,0,1,4,1,0,138,8,1,0,122.4,2,0
2,0,0,1,0,0,0,6,1,0,129.0,1,0
1,0,2,3,1,0,41,10,1,0,105.0,2,0
1,0,0,2,1,0,64,5,2,0,130.0,1,0
2,0,1,1,1,0,48,2,1,0,57.28,1,0
2,1,0,3,1,0,28,10,1,0,160.2,1,0
2,0,2,3,1,0,117,10,1,0,104.04,1,0
1,0,1,0,1,0,4,1,2,0,59.0,0,0
2,0,2,1,1,0,20,10,0,0,84.0,0,0
